NAME,Description,Location
BioCyc,Collection of pathway/genome databases for various organisms.,https://biocyc.org/
BRENDA (BRaunschweig ENzyme DAtabase),"Comprehensive enzyme information including kinetics, specificity, and molecular properties.",https://www.brenda-enzymes.org/
ChEBI (Chemical Entities of Biological Interest),Database of small molecular entities.,"https://www.ebi.ac.uk/chebi/ 
"
E. coli Wiki,Database of Escherichia coli metabolism and associated information.,https://ecoliwiki.org//
GNPS (Global Natural Products Social Molecular Networking),Repository of mass spectrometry data for natural products.,https://gnps.ucsd.edu/
Human Metabolome Database (HMDB),"Comprehensive resource for human metabolites, their chemical properties, and associated biological data.",http://www.hmdb.ca/
HumanCyc,Database of human metabolic pathways and enzymes.,https://humancyc.org/
iPath,Interactive exploration of metabolic pathways.,http://pathways.embl.de/
KEGG (Kyoto Encyclopedia of Genes and Genomes),"Provides comprehensive information on metabolism, pathways, and functional annotations.",https://www.kegg.jp/
LipidBlast,MS/MS spectral library for lipid identification.,https://fiehnlab.ucdavis.edu/projects/LipidBlast
LipidMaps,"Comprehensive resource for lipid structures, pathways, and associated data.",https://www.lipidmaps.org/
MaizeGDB,"Database for maize genetics and genomics, including metabolic pathways.",https://www.maizegdb.org/
MeMo,Metabolomics data analysis and visualization platform.,"https://memo.irbbarcelona.org/ 
"
Metabo-Push,Workflow system for metabolomics data analysis.,http://www.metabo-pus
MetaboAnalyst,"Integrated suite for metabolomics data analysis, interpretation, and visualization.",https://www.metaboanalyst.ca/
MetaboAnalyst 5.0,Web-based platform for metabolomics data analysis and interpretation.,https://www.metaboanalyst.ca//
MetaboAnalystR,R package for metabolomics data analysis and visualization.,https://github.com/xia-lab/MetaboAnalystR
MetaboDIA,Software for targeted metabolomics data analysis,https://github.com/metabolomicsworkbench/MetaboDIAA
MetaboFlow,Workflow management system for metabolomics data analysis.,http://www.metaboflow.org//
MetaboLights,"Public repository for metabolomics data.
",https://www.ebi.ac.uk/metabolights//
MetaboLights 2.0,Repository for metabolomics data and associated metadata.,https://www.ebi.ac.uk/metabolights///
MetaboLights Galaxy,Galaxy-based workflow system for metabolomics data analysis.,https://www.ebi.ac.uk/metabolights/galaxy
MetabolomeXchange,Repository for metabolomics data and associated metadata.,https://www.metabolomexchange.org/
Metabolomics Workbench,Repository for metabolomics data and tools,https://www.metabolomicsworkbench.org/
Metabolomics.jp,Integrated metabolomics database and analysis tools.,http://www.metabolomics.jp/
MetaboLyzer,Web-based tool for metabolomics data analysis and pathway mapping.,http://www.metabolizer.org/
MetaboMiner,Web-based tool for metabolomics data analysis and pathway enrichment.,http://metabominer.mbc.nctu.edu.tw/
MetaboNetworks,Web-based platform for metabolomics data analysis and visualization.,https://metabonetworks.org/
MetaboScape,Software suite for metabolomics data analysis and visualization.,https://www.brucker.nl/software-3/metaboscape/
MetaboSearch,Metabolite search engine that retrieves information from various metabolomic databases.,http://metabosearch.sbc.su.se/
MetaboShiny,Web-based tool for interactive exploration and analysis of metabolomics data.,https://github.com/yli11/MetaboShiny
MetaboSignal,Software for metabolomics data analysis and visualization,http://www.metabosignal.org/
MetaboTools,Web-based suite of tools for metabolomics data analysis and visualization.,http://www.metabotools.org/
MetaboVis,Tool for metabolomics data visualization and analysis.,https://github.com/metaboign/mvapp
MetaCyc,"A database of metabolic pathways and enzymes for over 2,000 organisms.",https://metacyc.org/
MetaCyc Explorer,Visualization tool for exploring metabolic pathways.,https://biocyc.org/explorer/
MetaDBSite,Metabolic pathway and enzyme database for microorganisms.,http://www.metadbsite.org/
MetaMapp ,Integrative pathway analysis tool for metabolomics data.,http://metamapp.fiehnlab.ucdavis.edu/
MetaNetX,Repository of metabolic networks and associated information,https://www.metanetx.org/
MetExplore,Metabolic network exploration and visualization tool.,http://metexplore.toulouse.inra.fr/metexplore2/
MetExplore 2,Web-based platform for metabolomics data analysis and pathway visualization.,http://metexplore.toulouse.inra.fr/metexplore2//
MetExplore Suite,Suite of web-based tools for metabolomics data analysis and visualization.,http://metexplore.toulouse.inra.fr/metexploreweb//
MetExploreViz,Visualization tool for metabolic networks and pathways.,http://metexplore.toulouse.inra.fr/metexploreViz/
MetExploreWeb,Web interface for visualization and analysis of metabolomics data.,http://metexplore.toulouse.inra.fr/metexploreweb/
MetScape,Cytoscape plugin for metabolomics data visualization and analysis.,http://metscape.ncibi.org/
