NAME,Description,Location
Crispr Benchling,This site provides a fast CRISPR gRNA designing tool with respect to specified gene or genome coordinates. The result also provide annotation on the exon and CDS information.,https://bioinformaticssoftwareandtools.co.in/click_me.php?id=1044
Cas-OFFinder,This tool identifies the possible off-target sites of Cas9 RNA-guided endonucleases.,https://bioinformaticssoftwareandtools.co.in/click_me.php?id=1045
CCTop,It's an online tool for CRISPR/Cas9 target prediction. Please go through the paper at doi: 10.1371/journal.pone.0124633 for detail.,https://bioinformaticssoftwareandtools.co.in/click_me.php?id=1045
Genome Engineering Software Tools,"This page of Omictools provide a range of tools related to Crisp Cas, viz. pgRNADesign, MAGESTIC, ProtospacerWB etc.",https://bioinformaticssoftwareandtools.co.in/click_me.php?id=1047
CHOPCHOP v.2,"""CHOPCHOP is a web tool for selecting target sites for CRISPR/Cas9, CRISPR/Cpf1 or TALEN-directed mutagenesis"". Please refer to doi:10.1093/nar/gkw398",https://bioinformaticssoftwareandtools.co.in/click_me.php?id=1048
CRISPOR,"This tool is used for designing, evaluating and cloning guide sequences for the CRISPR/Cas9 system.",https://bioinformaticssoftwareandtools.co.in/click_me.php?id=1049
CRISPR LifePipe,"To ""design both gRNA and donor template sequences required for genome editing"".",https://bioinformaticssoftwareandtools.co.in/click_me.php?id=1050
sgRNA Designer,"""This tool ranks and picks candidate sgRNA sequences for the targets provided, while attempting to maximize on-target activity and minimizing off-target activity""",https://bioinformaticssoftwareandtools.co.in/click_me.php?id=1051
DESKGEN,This fully user customezable biocomputational tool-set is provided by Desktop Genetics group.,https://bioinformaticssoftwareandtools.co.in/click_me.php?id=1052
CRISPR-Cas9 (CRISPR-associated protein 9),The foundational CRISPR-Cas9 system is a powerful tool for genome editing in a wide range of organisms.,https://www.addgene.org/guides/crispr/
CRISPR-Cas12 (Cpf1)," CRISPR-Cas12, or Cpf1, is another genome editing system with distinct properties from Cas9.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5428715/
CRISPR-CasX:,CasX is a recently discovered Cas protein with potential applications in genome editing,https://www.nature.com/articles/s41586-019-1711-4
CRISPR-CasY:,CasY is another recently identified Cas protein with genome editing potential,https://www.nature.com/articles/s41586-019-1712-3
CRISPR-Cas3,Cas3 is used for DNA degradation and may have applications in genome engineering,https://www.nature.com/articles/ncomms11328
CRISPR-Cas14,Cas14 is a compact system for genome editing and nucleic acid detection.,https://pubmed.ncbi.nlm.nih.gov/30037058/
CRISPR-CasPhi:,CasPhi is a giant CRISPR-Cas system found in bacteriophages and has applications in genome editing.,https://pubs.acs.org/doi/10.1021/acsnano.9b00647
"CRISPR-Cas Transposase:
",This system utilizes a transposase for precise genome integration and editing,https://pubmed.ncbi.nlm.nih.gov/31289309/
CRISPR-Cas9 Nickase (D10A):,"Cas9 nickases introduce single-strand breaks instead of double-strand breaks, reducing off-target effects",https://www.nature.com/articles/nprot.2015.010
Prime Editing:,"Prime editing is a newer, highly precise genome editing technique.",https://www.nature.com/articles/s41586-019-1711-4
CRISPR-Cas9 Base Editors,Base editors allow the direct conversion of one DNA base to another without causing double-strand breaks.,https://www.nature.com/articles/nature25508
CRISPR-Cas9 Delivery Systems:,Various delivery systems are available to efficiently introduce CRISPR components into cells or organisms,https://www.nature.com/articles/nbt.4169
Synthetic Guide RNA (sgRNA) Design Tools:,Tools for designing custom sgRNAs to target specific genomic regions.,https://www.benchling.com/solutions
"CRISPR-Cas9 Libraries:
",Libraries of pre-designed sgRNAs for genome-wide screening and functional analysis,https://www.addgene.org/crispr/libraries/
CRISPR Visualization Tools,Tools for visualizing CRISPR experimental results and genomic changes.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5717600/
"CRISPR-Cas9 Safety and Ethics Resources:
", Resources and guidelines for safe and ethical use of CRISPR technologies.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6071569/
The Broad Institute - CRISPR-Cas9 Resources:,"he Broad Institute provides extensive resources, protocols, and information on CRISPR-Cas9 technology.",https://www.broadinstitute.org/
UC Berkeley Innovative Genomics Institute:," This institute offers tools, resources, and research updates related to CRISPR technology.",https://innovativegenomics.org/
CRISPRweb,"CRISPRweb is a portal for information and resources on CRISPR technology, including tools for designing sgRNAs",https://crispr.dbcls.jp/
CRISPR Therapeutics:,CRISPR Therapeutics is a biopharmaceutical company focused on developing CRISPR-based therapies.,https://www.crisprtx.com/
Editas Medicine,Editas Medicine is a leading genome editing company that applies CRISPR technology for therapeutic purposes.,https://www.editasmedicine.com/
Addgene - CRISPR Resources,Addgene offers a comprehensive collection of CRISPR plasmids and resources for genome editing research.,https://www.addgene.org/crispr/
GEN CRISPR Gene Editing Hub,"GEN's hub provides articles, news, and resources related to CRISPR-Cas9 gene editing",https://www.genengnews.com/topics/gene-editing/
EMBO CRISPR-Cas Course,The European Molecular Biology Organization offers a CRISPR-Cas course covering the fundamentals and applications.,https://www.embl.org/sites/heidelberg/
MEGAN4-MEtaGenome ANalyzer,"It is a ""stand-alone analysis tool for metagenomic of short-read data"".",https://bioinformaticssoftwareandtools.co.in/click_me.php?id=162
MG-RAST,"""MG-RAST (the Metagenomics RAST) server is an automated analysis platform for metagenomes providing quantitative insights into microbial populations based on sequence data"". Its works the best in Firefox browser.",https://bioinformaticssoftwareandtools.co.in/click_me.php?id=163
IMG/M,"The Integrated Microbial Genomes (IMG) system serves as a community resource for analysis and annotation of genome and metagenome datasets in a comprehensive comparative context. The IMG data warehouse integrates genome and metagenome datasets provided by IMG users with a comprehensive set of publicly available isolate and single cell genomes, and a rich set of publicly available metagenome samples.",https://bioinformaticssoftwareandtools.co.in/click_me.php?id=164
CAMERA,"CAMERA (Community Cyberinfrastructure for Advanced Microbial Ecology Research and Analysis) aims at serving the"" needs of the microbial ecology research community, and other scientists using metagenomics data, by creating a rich, distinctive data repository and a bioinformatics tools resource that will address many of the unique challenges of metagenomic analysis"".",https://bioinformaticssoftwareandtools.co.in/click_me.php?id=165
CARMA,"""CARMA is a software pipeline for characterizing the taxonomic composition and genetic diversity of short-read metagenomes. The software was originally designed for the analysis of environmental metagenomes obtained by the ultra-fast 454 pyrosequencing system"".",https://bioinformaticssoftwareandtools.co.in/click_me.php?id=166
Terragenome,Its an international soil metagenome sequencing consortium.,https://bioinformaticssoftwareandtools.co.in/click_me.php?id=167
QIIME,QIIME (Quantitative Insights Into Microbial Ecology) is a widely used bioinformatics pipeline for microbial community analysis,https://qiime2.org/
Mothur,Mothur is a comprehensive software package for analyzing 16S rRNA gene sequences for microbial ecology studies.,https://mothur.org/
MetaPhlAn,MetaPhlAn is a tool for profiling the composition of microbial communities using metagenomic shotgun sequencing data.,https://huttenhower.sph.harvard.edu/metaphlan
Kraken, Kraken is a taxonomic sequence classifier that can rapidly analyze metagenomic data to assign taxonomic labels,https://ccb.jhu.edu/software/kraken/
MetaBAT,"MetaBAT is a tool for metagenomic binning, which groups contigs into genome bins for individual microorganisms.",https://bitbucket.org/berkeleylab/metabat/
MaxBin,MaxBin is another metagenomic binning tool designed to recover high-quality genomes from complex microbial communities,https://sourceforge.net/projects/maxbin/
MG-RAST,MG-RAST (Metagenomics Rapid Annotation using Subsystem Technology) is a web-based platform for metagenomic analysis and annotation.,https://www.mg-rast.org/
MetaGeneMark, MetaGeneMark is a tool for predicting genes in metagenomic sequences and annotating their functions,http://exon.gatech.edu/GeneMark/meta_gmhmmp.cgi
CAMERA,CAMERA (Community Cyberinfrastructure for Advanced Microbial Ecology Research and Analysis) is a data repository and analysis platform for metagenomic and environmental data.,https://camera.calit2.net/
MetaVelvet," MetaVelvet is a metagenome assembler, which can assemble metagenomic sequencing data into contigs and scaffolds.",https://metavelvet.dna.bio.keio.ac.jp/
MetaPhlAn2,"An improved version of MetaPhlAn, MetaPhlAn2 provides even more accurate taxonomic profiling of metagenomic data.",https://huttenhower.sph.harvard.edu/metaphlan2/
Anvi'o,Anvi'o is an analysis and visualization platform designed for metagenomics and microbial ecology studies.,https://anvio.org/
DIAMOND,DIAMOND is a fast and sensitive tool for aligning metagenomic sequencing reads to protein databases for functional analysis.,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/algorithms-in-bioinformatics/software/diamond/
HUMAnN,HUMAnN (HMP Unified Metabolic Analysis Network) is a tool for characterizing microbial metabolic pathways from metagenomic data.,https://huttenhower.sph.harvard.edu/humann
MetaPhyler,MetaPhyler is a tool for taxonomic profiling of metagenomic data based on k-mer frequencies.,https://www.cbcb.umd.edu/software/metaphyler
 CONCOCT,CONCOCT is a metagenomic binning tool that uses a combination of sequence composition and coverage to group contigs.,https://github.com/BinPro/CONCOCT
MetaStorm,"MetaStorm is a metagenomic analysis and visualization platform that includes tools for taxonomy, functional analysis, and more.",http://bench.cs.vt.edu/MetaStorm/
METAGENassist,"METAGENassist is a web-based tool for metagenomic data analysis and visualization, offering various modules for different tasks.",https://meta.genouest.org/
MetaPhinder,"MetaPhinder is a tool for identifying phage sequences in metagenomic data, helping to characterize viral communities.",https://cge.cbs.dtu.dk/services/MetaPhinder-2.0/
MetaPathways," MetaPathways is a modular pipeline for functional annotation of metagenomic sequences, including the reconstruction of metabolic pathways.",https://github.com/hallamlab/MetaPathways
MetaCompass,MetaCompass is a metagenomic assembly and analysis tool designed to handle complex microbial communities.,https://github.com/marbl/MetaCompass
MetaGOmics,"MetaGOmics is a comprehensive metagenomics analysis platform that integrates functional, taxonomic, and statistical analysis tools.",https://www.metahit.eu/tools/metagomics/
STRAND NGS,"offers many different tools including alignment, RNA-Seq, DNA-Seq, ChIP-Seq, Small RNA-Seq, Genome Browser, visualizations, Biological Interpretation, etc. Supports workflows one can import the sample data in FASTA, FASTQ or tag-count format. In addition, prealigned data in SAM, BAM or Illumina-specific ELAND format can be directly imported for analysis",http://www.strand-ngs.com/
CGL GENOMICS INCLUDE,"(QIAGEN). Features include: resequencing, workflow, read mapping, de novo assembly, variant detection, RNA-Seq, ChIP-Seq, Genome Browser, etc (entire list on website); Main Workbench offers database search (Genbank, Blast, Pubmed); 2000 organizations have invested in CLC",http://www.clcbio.com/desktop-applications/top-features/
DNAnexus,"Private cloud repository -- formerly a redistributor of SRA and other NCBI resources; command-line or via web, can fetch data from a URL, build custom pipeline/ workflow has sra.dnanexus.com site: data downloads come directly from NCBI",https://www.dnanexus.com/product-overview
ingenuint varaiant analysis,"(QIAGEN) allows for variant identification and analysis, uses NCI-60 data set for cancer, Supported third part informatin: Entrez Gene, RefSeq, ClinVar; gives contextual details of results instead of just A to B relationship",http://www.ingenuity.com/products/variant-analysis
Laser gene genomic suite,"Supported workflows include: reference-guided and de novo genome and transcriptome assembly and analysis, metagenomics sample assembly, targeted resequencing, exome alignment, gene panels with validation control, variant analysis, and RNA-Seq, ChIP-Seq and miRNA alignment and analysis.",http://www.dnastar.com/t-products-dnastar-lasergene-genomics.aspx
NextGne,"perfect analytical partner for the analysis of desktop sequencing data produced by the ION PGM, Roche Junior, Illumina MiSeq as well as high throughput systems as the Ion Torrent Proton, Roche FLX, Applied BioSystems SOLiD and Illumina® platforms. runs on Windows, free-standing multi-application package-- SNP/Indel analysis, CNV prediction and disease discovery, whole genome alignment, etc.",http://www.softgenetics.com/NextGENe.html
Partek genomics site,"Workflows for microarray and PCR data include: Gene expression including alternative splicing, miRNA expression,  Next Generation Sequencing (NGS) workflows include: RNA-Seq, miRNA-Seq, ChIP-Seq, DNA-Seq, and Methylation",http://www.partek.com/pgs
partek flow,"Performs base trimming, alignment, quantification, quality analysis, statistics, and visualization",http://www.partek.com/partekflow
Golden helix,"used for managing, analyzing and visualizing genotypic and phenotypic data; Features: Genome-wide association studies, genomic prediction, copy number analysis, small sample DNA-Seq workflows, large sample DNA-seq",http://goldenhelix.com/SNP_Variation/
Genomatics,"Applications: ChIP-Seq, DNA-Seq, RNA-Seq, DNA methylation; enable personalized medicine,",https://www.genomatix.de/
Biodtomics,"Open source platform (SaaS), analysis and genome sequencing tools, integrates over 400 genomic analysis open source tools and pipelines, have a private and public cloud version",http://www.biodatomics.com/
Solvebio,"Software product, for clinical genomics professionals, manage, curate, report genomic variation",https://www.solvebio.com/
Basepair,"Offers high quality workflows for all common NGS applications (RNA-Seq, ChIP-Seq, DNA-Seq, etc.)",http://www.basepairtech.com/
IMPUTE2,"phasing observed genotypes and imputing missing genotypes uses reference panels to provide all available halotypes, does not use population labels",http://mathgen.stats.ox.ac.uk/impute/impute_v2.html
FREEBAYES,"finds SNPs, Indels, MNPs; reports variants based on alignment",https://github.com/ekg/freebayes
SOAPindel,detects indels from NGS paired-end sequencing,http://soap.genomics.org.cn/soapindel.html
2Kplus2,algorithm searches graphs produced by de novo assembler Cortex; c++ source code for SNP ,https://github.com/danmaclean/2kplus2
Atlas 2, specializes in separation of true SNPs and indels from sequencing and mapping errors,https://www.hgsc.bcm.edu/software/atlas-2
CRISP,"identifies SNPs and INDELs from pooled high-throughput NGS, not used for analysis of single samples",https://sites.google.com/site/vibansal/software/crisp
Dindel,"(Wellcome Trust Sanger) calls small indels from short-read sequences, only can handle Illumina data; cannot test candidate indels",http://www.sanger.ac.uk/resources/software/dindel/
Discosnp++,detects homozygous and heterozygous SNPs and Indels,http://colibread.inria.fr/software/discosnp/
FAM sequencing,family-based sequencing studies- provides probability of an individual carrying variant based on familys raw measurements; ,NULL
Genetic Thesaurus,Annotation of genetic variants in repetitive regions,http://sourceforge.net/p/%20geneticthesaurus/wiki/Example/
GLF multiple,"command-line, variant caller",http://genome.sph.umich.edu/wiki/GlfMultiples
